GRCODE,GRNAME,AccidentYear,DevelopmentYear,DevelopmentLag,IncurredLosses,CumPaidLoss,BulkLoss,EarnedPremDIR,EarnedPremCeded,EarnedPremNet,Single,PostedReserves2007,LOB
337,California Cas Grp,1998,1998,1,7,0,5,11,0,11,0,186.997,comauto
337,California Cas Grp,1998,1999,2,15,2,1,11,0,11,0,186.997,comauto
337,California Cas Grp,1998,2000,3,5,4,0,11,0,11,0,186.997,comauto
337,California Cas Grp,1998,2001,4,7,7,0,11,0,11,0,186.997,comauto
337,California Cas Grp,1998,2002,5,21,8,12,11,0,11,0,186.997,comauto
337,California Cas Grp,1998,2003,6,8,8,0,11,0,11,0,186.997,comauto
337,California Cas Grp,1998,2004,7,8,8,0,11,0,11,0,186.997,comauto
337,California Cas Grp,1998,2005,8,9,9,0,11,0,11,0,186.997,comauto
337,California Cas Grp,1998,2006,9,9,9,0,11,0,11,0,186.997,comauto
337,California Cas Grp,1998,2007,10,9,9,0,11,0,11,0,186.997,comauto
337,California Cas Grp,1999,1999,1,28,0,28,40,0,40,0,186.997,comauto
337,California Cas Grp,1999,2000,2,1,1,4,40,0,40,0,186.997,comauto
337,California Cas Grp,1999,2001,3,2,2,0,40,0,40,0,186.997,comauto
337,California Cas Grp,1999,2002,4,16,3,12,40,0,40,0,186.997,comauto
337,California Cas Grp,1999,2003,5,5,4,0,40,0,40,0,186.997,comauto
337,California Cas Grp,1999,2004,6,4,4,0,40,0,40,0,186.997,comauto
337,California Cas Grp,1999,2005,7,4,4,0,40,0,40,0,186.997,comauto
337,California Cas Grp,1999,2006,8,4,4,0,40,0,40,0,186.997,comauto
337,California Cas Grp,1999,2007,9,4,4,0,40,0,40,0,186.997,comauto
337,California Cas Grp,1999,2008,10,4,4,0,40,0,40,0,186.997,comauto
337,California Cas Grp,2000,2000,1,0,0,0,4,0,4,0,186.997,comauto
337,California Cas Grp,2000,2001,2,2,2,0,4,0,4,0,186.997,comauto
337,California Cas Grp,2000,2002,3,16,3,13,4,0,4,0,186.997,comauto
337,California Cas Grp,2000,2003,4,5,4,0,4,0,4,0,186.997,comauto
337,California Cas Grp,2000,2004,5,4,4,0,4,0,4,0,186.997,comauto
337,California Cas Grp,2000,2005,6,4,4,0,4,0,4,0,186.997,comauto
337,California Cas Grp,2000,2006,7,5,5,0,4,0,4,0,186.997,comauto
337,California Cas Grp,2000,2007,8,5,5,0,4,0,4,0,186.997,comauto
337,California Cas Grp,2000,2008,9,5,5,0,4,0,4,0,186.997,comauto
337,California Cas Grp,2000,2009,10,5,5,0,4,0,4,0,186.997,comauto
337,California Cas Grp,2001,2001,1,0,0,0,82,0,82,0,186.997,comauto
337,California Cas Grp,2001,2002,2,0,0,0,82,0,82,0,186.997,comauto
337,California Cas Grp,2001,2003,3,1,0,0,82,0,82,0,186.997,comauto
337,California Cas Grp,2001,2004,4,1,0,0,82,0,82,0,186.997,comauto
337,California Cas Grp,2001,2005,5,0,0,0,82,0,82,0,186.997,comauto
337,California Cas Grp,2001,2006,6,0,0,0,82,0,82,0,186.997,comauto
337,California Cas Grp,2001,2007,7,0,0,0,82,0,82,0,186.997,comauto
337,California Cas Grp,2001,2008,8,0,0,0,82,0,82,0,186.997,comauto
337,California Cas Grp,2001,2009,9,0,0,0,82,0,82,0,186.997,comauto
