run_id,instance_id,gpu_name,dph_total,gpu_ram_gb,cpu_ram_gb,reliability,cuda_max_good,image,transport,arms,machine_id,host_id,attempt,disk_requested_gb,t_create,t_running,t_end,wall_seconds,wall_minutes,est_cost_usd,bootstrap_rc
20260912T144012Z,50756703,RTX_6000Ada,0.51,49.1,190.0,0.9984,13.2,pytorch/pytorch:2.7.0-cuda12.8-cudnn9-runtime,execute,"A_raw,B_in_domain",,,,60,1789224010,,1789224012,2,0.03,0.0003,
20260912T144946Z,50757464,RTX_6000Ada,0.6555555555555556,49.1,515.0,0.9957,12.7,pytorch/pytorch:2.6.0-cuda12.6-cudnn9-runtime,execute,"A_raw,B_in_domain",,,,60,1789224400,1789224548,1789224585,185,3.08,0.0337,0
20260912T150830Z,50758729,RTX_6000Ada,0.5422222222222222,49.1,96.0,0.9966,12.2,pytorch/pytorch:2.5.1-cuda12.1-cudnn9-runtime,onstart,"A_raw,B_in_domain",,,,60,1789225405,1789225565,1789225710,305,5.08,0.0459,
20260912T155345Z,50762816,RTX_4090,0.4011111111111111,49.1,773.0,0.9979,13.0,pytorch/pytorch:2.7.0-cuda12.8-cudnn9-runtime,onstart,"A_raw,B_in_domain",,,,60,1789227740,,1789228425,685,11.42,0.0763,
20260912T160600Z,50763979,RTX_4090,0.4414444444444445,49.1,773.0,0.9974,12.8,pytorch/pytorch:2.5.1-cuda12.1-cudnn9-runtime,onstart,"A_raw,B_in_domain",,,,60,1789228467,,1789229160,693,11.55,0.085,
20260912T161508Z,50765553,RTX_4090,0.4414444444444445,49.1,773.0,0.9974,12.8,pytorch/pytorch:2.5.1-cuda12.1-cudnn9-runtime,onstart,"A_raw,B_in_domain",,,,60,1789229410,,1789229708,298,4.97,0.0365,
20260912T163050Z,50766615,RTX_4090,0.4011111111111111,49.1,773.0,0.9979,13.0,pytorch/pytorch:2.5.1-cuda12.1-cudnn9-runtime,onstart,"A_raw,B_in_domain",,,,60,1789229969,,1789230650,681,11.35,0.0759,
20260912T164324Z,50769223,RTX_PRO_5000,0.6566666666666667,48.9,257.0,0.9958,13.2,pytorch/pytorch:2.7.0-cuda12.8-cudnn9-runtime,onstart,"A_raw,B_in_domain",142406,361582,1,60,1789231283,1789231352,1789231403,120,2.0,0.0219,0
20260912T165328Z,50770528,RTX_PRO_5000,0.6566666666666667,48.9,257.0,0.9958,13.2,pytorch/pytorch:2.7.0-cuda12.8-cudnn9-runtime,onstart,A_raw,142406,361582,1,60,1789231864,1789231911,1789232007,143,2.38,0.0261,0
20260912T170033Z,50771451,RTX_PRO_5000,0.6566666666666667,48.9,257.0,0.9958,13.2,pytorch/pytorch:2.7.0-cuda12.8-cudnn9-runtime,onstart,"A_raw,B_in_domain",142406,361582,1,60,1789232320,1789232355,1789232433,113,1.88,0.0206,0
20260912T170703Z,50772306,RTX_PRO_5000,0.6566666666666667,48.9,257.0,0.9958,13.2,pytorch/pytorch:2.7.0-cuda12.8-cudnn9-runtime,onstart,"A_raw,B_in_domain",142406,361582,1,60,1789232677,1789232702,1789232823,146,2.43,0.0266,0
20260912T171210Z,50773139,RTX_PRO_5000,0.6566666666666667,48.9,257.0,0.9958,13.2,pytorch/pytorch:2.7.0-cuda12.8-cudnn9-runtime,onstart,"A_raw,B_in_domain",142406,361582,1,60,1789232973,1789233008,1789233130,157,2.62,0.0286,0
20260912T201944Z,50795221,L40S,0.5444444444444444,46.1,1031.0,0.9994,13.0,pytorch/pytorch:2.7.0-cuda12.8-cudnn9-runtime,onstart,"A_raw,B_in_domain",24733,39788,1,60,1789244065,1789244101,1789244384,319,5.32,0.0482,0
20260913T214158Z,50939739,RTX_3090,0.21888888888888888,24.6,515.0,0.9861,13.0,pytorch/pytorch:2.7.0-cuda12.8-cudnn9-runtime,onstart,"A_raw,B_ft3,B_ft10,B_ft30",84216,443829,1,60,1789335728,,1789336434,706,11.77,0.0429,
20260913T220158Z,50943095,RTX_PRO_4000,0.28933333333333333,24.5,515.0,0.9992,13.2,pytorch/pytorch:2.7.0-cuda12.8-cudnn9-runtime,onstart,"A_raw,B_ft3,B_ft10,B_ft30",46313,92159,1,60,1789336925,1789336984,1789337055,130,2.17,0.0104,0
20260913T221552Z,50945337,RTX_3090,0.16333333333333333,24.6,257.0,0.9938,13.0,pytorch/pytorch:2.7.0-cuda12.8-cudnn9-runtime,onstart,"A_raw,B_ft3,B_ft10,B_ft30",78080,155385,1,60,1789337823,,1789337847,24,0.4,0.0011,
20260913T221729Z,50945605,RTX_PRO_4000,0.28933333333333333,24.5,515.0,0.9992,13.2,pytorch/pytorch:2.7.0-cuda12.8-cudnn9-runtime,onstart,"A_raw,B_ft3,B_ft10,B_ft30",46313,92159,2,60,1789338008,1789338044,1789338139,131,2.18,0.0105,0
20260913T223246Z,50947087,RTX_PRO_4000,0.28933333333333333,24.5,515.0,0.9992,13.2,pytorch/pytorch:2.7.0-cuda12.8-cudnn9-runtime,onstart,"A_raw,B_ft3,B_ft10,B_ft30",46313,92159,1,60,1789338774,1789338798,1789338823,49,0.82,0.0039,0
20260913T224025Z,50947955,RTX_PRO_4000,0.28933333333333333,24.5,515.0,0.9992,13.2,pytorch/pytorch:2.7.0-cuda12.8-cudnn9-runtime,onstart,"A_raw,B_ft3,B_ft10,B_ft30",46313,92159,1,60,1789339235,1789339270,1789339388,153,2.55,0.0123,0
20260913T225032Z,50948882,RTX_PRO_4000,0.28933333333333333,24.5,515.0,0.9992,13.2,pytorch/pytorch:2.7.0-cuda12.8-cudnn9-runtime,onstart,"A_raw,B_ft3,B_ft10,B_ft30",46313,92159,1,60,1789339839,1789339875,1789339991,152,2.53,0.0122,0
20260914T005226Z,50958234,RTX_3090,0.17888888888888888,24.6,257.0,0.9947,13.0,pytorch/pytorch:2.7.0-cuda12.8-cudnn9-runtime,onstart,"A_raw,B_ft3,B_ft10,B_ft30",43503,155125,1,60,1789347153,,1789347660,507,8.45,0.0252,
20260914T010130Z,50958799,RTX_3090,0.17888888888888888,24.6,257.0,0.9947,13.0,pytorch/pytorch:2.7.0-cuda12.8-cudnn9-runtime,onstart,"A_raw,B_ft3,B_ft10,B_ft30",43503,155125,1,60,1789347698,,1789347755,57,0.95,0.0028,
